will	14.934990753717434
s	12.903364074164749
market	9.517319608243607
one	8.16290182187515
thing	7.711429226418999
crypto	6.131275142322467
project	6.131275142322467
blockchain	5.6798025468663145
protocol	5.6798025468663145
time	5.228329951410163
think	5.228329951410163
asset	4.551121058225934
something	4.325384760497858
people	4.099648462769782
transaction	4.099648462769782
problem	3.8739121650417054
Ethereum	3.6481758673136295
money	3.6481758673136295
companies	3.6481758673136295
exchange	3.6481758673136295
building	3.6481758673136295
buy	3.422439569585553
make	3.422439569585553
liquidity	3.422439569585553
top	3.422439569585553
re	3.1967032718574773
internet	3.1967032718574773
use	3.1967032718574773
network	3.1967032718574773
scalability	3.1967032718574773
smart contract	3.1967032718574773
Bitcoin	2.970966974129401
two	2.970966974129401
underlying	2.970966974129401
user	2.970966974129401
work	2.745230676401325
infrastructure	2.745230676401325
system	2.745230676401325
take	2.5194943786732487
tech	2.5194943786732487
example	2.5194943786732487
good	2.5194943786732487
need	2.5194943786732487
look	2.5194943786732487
even	2.2937580809451728
want	2.2937580809451728
value	2.2937580809451728
decentralized	2.2937580809451728
data	2.2937580809451728
new	2.0680217832170964
finance	2.0680217832170964
able	2.0680217832170964
scale	2.0680217832170964
ll	2.0680217832170964
much	2.0680217832170964
company	2.0680217832170964
ramp	2.0680217832170964
create	1.8422854854890205
derivative	1.8422854854890205
benefit	1.8422854854890205
trade	1.8422854854890205
price	1.8422854854890205
space	1.8422854854890205
well	1.8422854854890205
Augur	1.8422854854890205
fee	1.8422854854890205
cost	1.8422854854890205
rocket	1.8422854854890205
essentially	1.6165491877609444
today	1.6165491877609444
easy	1.6165491877609444
require	1.6165491877609444
see	1.6165491877609444
solve	1.6165491877609444
code	1.6165491877609444
application	1.6165491877609444
economic	1.6165491877609444
don t	1.6165491877609444
financial	1.3908128900328682
without	1.3908128900328682
first	1.3908128900328682
quite	1.3908128900328682
way	1.3908128900328682
issue	1.3908128900328682
challenge	1.3908128900328682
lot	1.3908128900328682
required	1.3908128900328682
believe	1.3908128900328682
technology	1.3908128900328682
storage	1.3908128900328682
may	1.3908128900328682
making	1.3908128900328682
long	1.3908128900328682
product	1.3908128900328682
financial system	1.3908128900328682
open source	1.3908128900328682
around	1.165076592304792
idea	1.165076592304792
effectively	1.165076592304792
cryptocurrency	1.165076592304792
t	1.165076592304792
point	1.165076592304792
parallel	1.165076592304792
happen	1.165076592304792
cheap	1.165076592304792
etc	1.165076592304792
right	1.165076592304792
go	1.165076592304792
traditional	1.165076592304792
security	1.165076592304792
now	1.165076592304792
experience	1.165076592304792
different	1.165076592304792
amount	1.165076592304792
fundamental	1.165076592304792
team	1.165076592304792
Layer	1.165076592304792
computer	0.939340294576716
critical	0.939340294576716
level	0.939340294576716
contract	0.939340294576716
another	0.939340294576716
term	0.939340294576716
build	0.939340294576716
either	0.939340294576716
dollar	0.939340294576716
instead	0.939340294576716
honest	0.939340294576716
Tesla	0.939340294576716
three	0.939340294576716
trading	0.939340294576716
using	0.939340294576716
chain	0.939340294576716
software	0.939340294576716
say	0.939340294576716
still	0.939340294576716
Fund	0.939340294576716
biotech	0.939340294576716
important	0.939340294576716
networking	0.939340294576716
solution	0.939340294576716
node	0.939340294576716
invest	0.939340294576716
new financial	0.939340294576716
real world	0.939340294576716
trust	0.7136039968486398
part	0.7136039968486398
anyone	0.7136039968486398
course	0.7136039968486398
sound	0.7136039968486398
case	0.7136039968486398
ve	0.7136039968486398
slow	0.7136039968486398
fast	0.7136039968486398
reason	0.7136039968486398
lower	0.7136039968486398
world	0.7136039968486398
stock	0.7136039968486398
might	0.7136039968486398
tools	0.7136039968486398
better	0.7136039968486398
Maker	0.7136039968486398
fiat	0.7136039968486398
payment	0.7136039968486398
solved	0.7136039968486398
centralized	0.7136039968486398
become	0.7136039968486398
done	0.7136039968486398
difficult	0.7136039968486398
sense	0.7136039968486398
research	0.7136039968486398
development	0.7136039968486398
block	0.7136039968486398
shard	0.7136039968486398
longer	0.7136039968486398
doesn t	0.7136039968486398
created	0.48786769912056377
send	0.48786769912056377
based	0.48786769912056377
certain	0.48786769912056377
instance	0.48786769912056377
easier	0.48786769912056377
start	0.48786769912056377
almost	0.48786769912056377
best	0.48786769912056377
execution	0.48786769912056377
short	0.48786769912056377
equivalent	0.48786769912056377
going	0.48786769912056377
support	0.48786769912056377
yet	0.48786769912056377
already	0.48786769912056377
expensive	0.48786769912056377
possible	0.48786769912056377
bet	0.48786769912056377
multiple	0.48786769912056377
wrong	0.48786769912056377
Dai	0.48786769912056377
0x	0.48786769912056377
less	0.48786769912056377
existing	0.48786769912056377
bunch	0.48786769912056377
throughput	0.48786769912056377
onboarding	0.48786769912056377
Veil	0.48786769912056377
someone	0.48786769912056377
opposed	0.48786769912056377
incentive	0.48786769912056377
across	0.48786769912056377
run	0.48786769912056377
creating	0.48786769912056377
sometimes	0.48786769912056377
website	0.48786769912056377
attack	0.48786769912056377
must	0.48786769912056377
drug	0.48786769912056377
trials	0.48786769912056377
proof	0.48786769912056377
sharding	0.48786769912056377
investor	0.48786769912056377
looking	0.48786769912056377
tradeoff	0.48786769912056377
stage	0.48786769912056377
buying	0.48786769912056377
three years	0.48786769912056377
thesis	0.26213140139248764
ability	0.26213140139248764
open	0.26213140139248764
d	0.26213140139248764
Paper	0.26213140139248764
information	0.26213140139248764
society	0.26213140139248764
every	0.26213140139248764
revolution	0.26213140139248764
read	0.26213140139248764
place	0.26213140139248764
creation	0.26213140139248764
argue	0.26213140139248764
given	0.26213140139248764
state	0.26213140139248764
native	0.26213140139248764
